livro;autor;paginas
Arquivo x;Ellen Steiber;97
Arquivo X - 04;Ellen Steiber;94
Homem de ferro -A manopla;Eoin Colfer;272
Eram os deuses astronautas?;Erich von Däniken;184
Jogador Nº 1;Ernest Cline;464
Contos de esopo;Esopo;224
Os grandes romances de Dostoiévski;Fiodor Dostoiévski;4985
Duna;Frank Herbert;671
Os Filhos de Duna;Frank Herbert;524
O Imperador-Deus de Duna;Frank Herbert;504
Os Hereges de Duna;Frank Herbert;486
As Herdeiras de Duna;Frank Herbert;441
O Messias de Duna;Frank Herbert;284
Gestapo Mito e realidade da polícia secreta de Hitler;Frank McDonough;288
O Fantasma da Ópera;Gaston Leroux;336
1984;George Orwell;416
A Revolução dos Bichos;George Orwell;152
50 ideias de astronomia que você precisa conhecer;Giles Sparrow;216
Machine Learning: Introdução à classificação;Guilherme Silveira;407
Os melhores contos de H.P. Lovecraft;H. P. Lovecraft;742
O Pardal é um pássaro azul;Heloneida Studart;134
Como se faz Análise de Conjuntura;Herbert José de Souza;54
Moby Dick;Herman Melville;528
Teogonia trabalho e dias;Hesíodo;159
Odisseia;Homero;167
Ilíada;Homero;220
Quem ama, educa!;Içami Tiba;320
Nós, Robôs;Isaac Asimov;566
O Futuro Começou;Isaac Asimov;470
Fundação e Terra;Isaac Asimov;464
Sonhos de Robô;Isaac Asimov;462
Visões de Robô;Isaac Asimov;462
Prelúdio à Fundação;Isaac Asimov;456
Os Robôs do Amanhecer;Isaac Asimov;412
Limites da Fundação;Isaac Asimov;408
Origens da Fundação;Isaac Asimov;408
Escolha a Catástrofe;Isaac Asimov;384
Os Próprios Deuses;Isaac Asimov;368
Robôs e o Império;Isaac Asimov;363
Eu, Robô;Isaac Asimov;320
As Cavernas de Aço;Isaac Asimov;304
O Sol Desvelado;Isaac Asimov;288
O Fim da Eternidade;Isaac Asimov;255
Fundação e Império;Isaac Asimov;248
Fundação;Isaac Asimov;239
Segunda Fundação;Isaac Asimov;235
827 Era Galáctica;Isaac Asimov;234
Mistérios;Isaac Asimov;226
Os Novos Robôs;Isaac Asimov;196
O Grande Sol de Mercúrio;Isaac Asimov, Paul French;194
O Cair da Noite;Isaac Asimov, Robert Silverberg;352
Castle High - O retorno da espada;J.O. Aquino;270
Contos Inacabados;J.R.R. Tolkien;592
O Retorno do Rei;J.R.R. Tolkien;580
A Sociedade do Anel;J.R.R. Tolkien;566
As Duas Torres;J.R.R. Tolkien;496
O Silmarillion;J.R.R. Tolkien;482
Os Filhos de Húrin;J.R.R. Tolkien;340
O Hobbit;J.R.R. Tolkien;297
